method_id,season,n,wins,win_rate,roi,units,active_seasons,positive_seasons,negative_seasons,max_negative_streak,roi_se
NFL-U369,2016,19,8,0.42105263157894735,0.03631578947368423,0.6900000000000004,1,1,0,0,0.2889547714728203
NFL-U369,2017,10,4,0.4,-0.122,-1.22,1,0,1,1,0.3609702973314502
NFL-U369,2018,10,6,0.6,0.5090000000000001,5.090000000000001,1,1,0,0,0.414057027741617
NFL-U369,2019,6,4,0.6666666666666666,0.5983333333333333,3.59,1,1,0,0,0.5094992094640034
NFL-U369,2020,9,5,0.5555555555555556,0.3866666666666667,3.4800000000000004,1,1,0,0,0.4445440860527159
NFL-U369,2021,9,5,0.5555555555555556,0.31000000000000005,2.7900000000000005,1,1,0,0,0.41999007924791115
NFL-U369,2022,17,8,0.47058823529411764,0.1923529411764706,3.27,1,1,0,0,0.3185243196594773
NFL-U369,2023,9,3,0.3333333333333333,-0.20333333333333334,-1.83,1,0,1,1,0.40202266381663393
NFL-U369,2024,14,6,0.42857142857142855,-0.0142857142857143,-0.20000000000000018,1,0,1,1,0.3176315411264557
NFL-U369,2025,12,7,0.5833333333333334,0.34,4.08,1,1,0,0,0.34635548387765025
NFL-U370,2006,5,2,0.4,0.03799999999999999,0.18999999999999995,1,1,0,0,0.6372942805329419
NFL-U370,2007,8,7,0.875,1.0787499999999999,8.629999999999999,1,1,0,0,0.30352946138484055
NFL-U370,2008,5,3,0.6,0.4640000000000001,2.3200000000000003,1,1,0,0,0.598686896465924
NFL-U370,2009,8,4,0.5,0.27749999999999997,2.2199999999999998,1,1,0,0,0.4900391748188534
NFL-U370,2010,10,6,0.6,0.409,4.09,1,1,0,0,0.38916848679089
NFL-U370,2011,5,2,0.4,-0.014000000000000012,-0.07000000000000006,1,0,1,1,0.6130220224429135
NFL-U370,2012,13,6,0.46153846153846156,0.07384615384615384,0.96,1,1,0,0,0.3364759648930223
NFL-U370,2013,4,4,1.0,1.31,5.24,1,1,0,0,0.03559026084010435
NFL-U370,2014,6,2,0.3333333333333333,-0.27499999999999997,-1.65,1,0,1,1,0.4598532374573436
NFL-U370,2015,6,3,0.5,0.3316666666666667,1.9900000000000002,1,1,0,0,0.5962181740865596
NFL-U370,2016,13,8,0.6153846153846154,0.4830769230769232,6.280000000000001,1,1,0,0,0.3432581158869925
NFL-U370,2017,6,3,0.5,0.15000000000000005,0.9000000000000004,1,1,0,0,0.5168042827479922
NFL-U370,2018,5,3,0.6,0.484,2.42,1,1,0,0,0.6174836030211652
NFL-U370,2019,5,1,0.2,-0.546,-2.73,1,0,1,1,0.4539999999999999
NFL-U370,2020,8,3,0.375,-0.07499999999999998,-0.5999999999999999,1,0,1,1,0.45265881191025104
NFL-U370,2021,12,4,0.3333333333333333,-0.25833333333333336,-3.1000000000000005,1,0,1,1,0.31695003270598227
NFL-U370,2022,12,6,0.5,0.2925,3.51,1,1,0,0,0.39083074884459157
NFL-U370,2023,4,3,0.75,0.6100000000000001,2.4400000000000004,1,1,0,0,0.5370598973423107
NFL-U370,2024,8,3,0.375,-0.14500000000000005,-1.1600000000000004,1,0,1,1,0.41767639558463365
NFL-U370,2025,4,4,1.0,1.3599999999999999,5.4399999999999995,1,1,0,0,0.05715476066494081
NFL-U371,2006,11,9,0.8181818181818182,1.0372727272727271,11.409999999999998,1,1,0,0,0.30976263906737284
NFL-U371,2007,6,4,0.6666666666666666,0.6200000000000001,3.7200000000000006,1,1,0,0,0.5156161362874518
NFL-U371,2008,3,1,0.3333333333333333,-0.14666666666666664,-0.43999999999999995,1,0,1,1,0.8533333333333334
NFL-U371,2009,6,3,0.5,0.27166666666666667,1.63,1,1,0,0,0.57305855818678
NFL-U371,2010,12,6,0.5,0.2325,2.79,1,1,0,0,0.3736473077730663
NFL-U371,2011,8,3,0.375,-0.10249999999999995,-0.8199999999999996,1,0,1,1,0.4397635322371721
NFL-U371,2012,7,4,0.5714285714285714,0.39714285714285713,2.78,1,1,0,0,0.5008122653949961
NFL-U371,2013,9,2,0.2222222222222222,-0.5022222222222221,-4.52,1,0,1,1,0.3294556865235688
NFL-U371,2014,7,4,0.5714285714285714,0.3314285714285714,2.32,1,1,0,0,0.4723166238841047
NFL-U371,2015,10,5,0.5,0.219,2.19,1,1,0,0,0.4113323878973467
NFL-U371,2016,19,11,0.5789473684210527,0.46105263157894744,8.760000000000002,1,1,0,0,0.2980922722414707
NFL-U371,2017,3,3,1.0,1.4266666666666667,4.28,1,1,0,0,0.05925462944877059
