result,player1,player2,player1_url,player2_url,weightclass,method,round,time,time_format,referee,details,player1_nickname,player2_nickname,event_date,event_location,event_url,p1_rd1_KD,p1_rd2_KD,p1_rd3_KD,p1_rd4_KD,p1_rd5_KD,p1_rd1_Sig_str,p1_rd2_Sig_str,p1_rd3_Sig_str,p1_rd4_Sig_str,p1_rd5_Sig_str,p1_rd1_Total_str,p1_rd2_Total_str,p1_rd3_Total_str,p1_rd4_Total_str,p1_rd5_Total_str,p1_rd1_Td,p1_rd2_Td,p1_rd3_Td,p1_rd4_Td,p1_rd5_Td,p1_rd1_Sub_att,p1_rd2_Sub_att,p1_rd3_Sub_att,p1_rd4_Sub_att,p1_rd5_Sub_att,p1_rd1_Rev,p1_rd2_Rev,p1_rd3_Rev,p1_rd4_Rev,p1_rd5_Rev,p1_rd1_Ctrl,p1_rd2_Ctrl,p1_rd3_Ctrl,p1_rd4_Ctrl,p1_rd5_Ctrl,p2_rd1_KD,p2_rd2_KD,p2_rd3_KD,p2_rd4_KD,p2_rd5_KD,p2_rd1_Sig_str,p2_rd2_Sig_str,p2_rd3_Sig_str,p2_rd4_Sig_str,p2_rd5_Sig_str,p2_rd1_Total_str,p2_rd2_Total_str,p2_rd3_Total_str,p2_rd4_Total_str,p2_rd5_Total_str,p2_rd1_Td,p2_rd2_Td,p2_rd3_Td,p2_rd4_Td,p2_rd5_Td,p2_rd1_Sub_att,p2_rd2_Sub_att,p2_rd3_Sub_att,p2_rd4_Sub_att,p2_rd5_Sub_att,p2_rd1_Rev,p2_rd2_Rev,p2_rd3_Rev,p2_rd4_Rev,p2_rd5_Rev,p2_rd1_Ctrl,p2_rd2_Ctrl,p2_rd3_Ctrl,p2_rd4_Ctrl,p2_rd5_Ctrl,p1_rd1_Head,p1_rd2_Head,p1_rd3_Head,p1_rd4_Head,p1_rd5_Head,p1_rd1_Body,p1_rd2_Body,p1_rd3_Body,p1_rd4_Body,p1_rd5_Body,p1_rd1_Leg,p1_rd2_Leg,p1_rd3_Leg,p1_rd4_Leg,p1_rd5_Leg,p1_rd1_Distance,p1_rd2_Distance,p1_rd3_Distance,p1_rd4_Distance,p1_rd5_Distance,p1_rd1_Clinch,p1_rd2_Clinch,p1_rd3_Clinch,p1_rd4_Clinch,p1_rd5_Clinch,p1_rd1_Ground,p1_rd2_Ground,p1_rd3_Ground,p1_rd4_Ground,p1_rd5_Ground,p2_rd1_Head,p2_rd2_Head,p2_rd3_Head,p2_rd4_Head,p2_rd5_Head,p2_rd1_Body,p2_rd2_Body,p2_rd3_Body,p2_rd4_Body,p2_rd5_Body,p2_rd1_Leg,p2_rd2_Leg,p2_rd3_Leg,p2_rd4_Leg,p2_rd5_Leg,p2_rd1_Distance,p2_rd2_Distance,p2_rd3_Distance,p2_rd4_Distance,p2_rd5_Distance,p2_rd1_Clinch,p2_rd2_Clinch,p2_rd3_Clinch,p2_rd4_Clinch,p2_rd5_Clinch,p2_rd1_Ground,p2_rd2_Ground,p2_rd3_Ground,p2_rd4_Ground,p2_rd5_Ground,division,result_norm,h1,h2,height_diff,height_gap,taller_is_p1,p1_won,taller_won,shorter_won,pair_key,market_prob,favorite_decimal_odds,market_fav_won,market_fav_taller,american_odds
L,Ben Rothwell,Mark Hunt,http://ufcstats.com/fighter-details/bd58d34e39b7b12a,http://ufcstats.com/fighter-details/eef9b891edbd4604,Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Adam Martinez,Nelson Hamilton 28 - 29. Cecil Peoples 27 - 29. Mark Van Tine 27 - 30.,--,Super Samoan,2011-09-24,"Denver, Colorado, USA",http://ufcstats.com/event-details/73ef22f25d0f70e2,0,0.0,0.0,,,13 of 29,3 of 10,3 of 11,,,14 of 30,3 of 10,6 of 14,,,2 of 8,0 of 2,0 of 4,,,0,0.0,0.0,,,0,0.0,0.0,,,1:26,0:08,0:37,,,0,0.0,0.0,,,7 of 29,21 of 39,19 of 27,,,12 of 34,61 of 82,47 of 57,,,0 of 0,1 of 1,1 of 3,,,0,1.0,0.0,,,0,0.0,0.0,,,0:23,3:22,2:33,,,13 of 29,3 of 10,3 of 11,,,0 of 0,0 of 0,0 of 0,,,0 of 0,0 of 0,0 of 0,,,3 of 17,3 of 10,3 of 11,,,0 of 0,0 of 0,0 of 0,,,10 of 12,0 of 0,0 of 0,,,7 of 29,18 of 36,19 of 27,,,0 of 0,1 of 1,0 of 0,,,0 of 0,2 of 2,0 of 0,,,7 of 29,6 of 17,13 of 20,,,0 of 0,1 of 2,1 of 1,,,0 of 0,14 of 20,5 of 6,,,Heavyweight,L,76.0,70.0,6.0,6.0,True,False,False,True,http://ufcstats.com/fighter-details/bd58d34e39b7b12a|http://ufcstats.com/fighter-details/eef9b891edbd4604,0.7661870503597122,1.2816901408450705,False,True,-354.9999999999999
W,Cheick Kongo,Pat Barry,http://ufcstats.com/fighter-details/1eacf73d6a0055dc,http://ufcstats.com/fighter-details/658c3465581ae46b,Heavyweight Bout,KO/TKO,1,2:39,3 Rnd (5-5-5),Dan Miragliotta,Punch to Head In Clinch,--,HD,2011-06-26,"Pittsburgh, Pennsylvania, USA",http://ufcstats.com/event-details/d023ae89a2a4a41e,1,,,,,10 of 16,,,,,11 of 17,,,,,0 of 2,,,,,0,,,,,0,,,,,0:01,,,,,2,,,,,8 of 16,,,,,11 of 19,,,,,0 of 1,,,,,0,,,,,0,,,,,0:09,,,,,5 of 7,,,,,0 of 2,,,,,5 of 7,,,,,8 of 14,,,,,0 of 0,,,,,2 of 2,,,,,6 of 14,,,,,0 of 0,,,,,2 of 2,,,,,4 of 8,,,,,0 of 0,,,,,4 of 8,,,,,Heavyweight,W,76.0,71.0,5.0,5.0,True,True,True,False,http://ufcstats.com/fighter-details/1eacf73d6a0055dc|http://ufcstats.com/fighter-details/658c3465581ae46b,0.6551724137931034,1.5,True,True,-200.0
W,Kenny Florian,Diego Nunes,http://ufcstats.com/fighter-details/cb139171ed1b69fe,http://ufcstats.com/fighter-details/3a24769a4855040a,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy,Jason Darrah 28 - 29. Chris Franco 28 - 29. Dave Hagen 27 - 30.,KenFlo,The Gun,2011-06-11,"Vancouver, British Columbia, Canada",http://ufcstats.com/event-details/aac5ac38148f0528,0,0.0,0.0,,,11 of 37,9 of 24,22 of 50,,,22 of 49,39 of 55,51 of 81,,,2 of 4,1 of 4,1 of 1,,,0,1.0,0.0,,,0,0.0,0.0,,,0:42,2:17,1:53,,,1,0.0,0.0,,,15 of 39,6 of 25,10 of 40,,,15 of 39,9 of 29,10 of 40,,,1 of 1,1 of 1,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,0:47,1:04,0:27,,,6 of 31,7 of 20,15 of 39,,,4 of 5,2 of 2,3 of 7,,,1 of 1,0 of 2,4 of 4,,,5 of 29,2 of 13,13 of 35,,,4 of 6,0 of 1,2 of 6,,,2 of 2,7 of 10,7 of 9,,,7 of 29,2 of 18,5 of 27,,,4 of 4,3 of 4,3 of 7,,,4 of 6,1 of 3,2 of 6,,,9 of 31,3 of 18,7 of 35,,,4 of 4,1 of 1,3 of 5,,,2 of 4,2 of 6,0 of 0,,,Featherweight,W,70.0,66.0,4.0,4.0,True,True,True,False,http://ufcstats.com/fighter-details/3a24769a4855040a|http://ufcstats.com/fighter-details/cb139171ed1b69fe,0.6734693877551021,1.4545454545454546,True,True,-219.99999999999997
W,Mark Hunt,Chris Tuchscherer,http://ufcstats.com/fighter-details/eef9b891edbd4604,http://ufcstats.com/fighter-details/df05aa15b2d66f57,Heavyweight Bout,KO/TKO,2,1:41,3 Rnd (5-5-5),John Sharp,Punch to Head In Clinch,Super Samoan,The Crowbar,2011-02-26,"Sydney, New South Wales, Australia",http://ufcstats.com/event-details/88a9bc81271ccd89,0,1.0,,,,9 of 29,5 of 14,,,,19 of 42,5 of 14,,,,0 of 0,0 of 0,,,,0,0.0,,,,0,0.0,,,,0:00,0:02,,,,0,0.0,,,,7 of 27,2 of 10,,,,20 of 42,2 of 10,,,,1 of 2,0 of 2,,,,0,0.0,,,,0,0.0,,,,1:45,0:00,,,,9 of 28,5 of 13,,,,0 of 1,0 of 1,,,,0 of 0,0 of 0,,,,8 of 27,5 of 14,,,,1 of 2,0 of 0,,,,0 of 0,0 of 0,,,,6 of 26,2 of 10,,,,1 of 1,0 of 0,,,,0 of 0,0 of 0,,,,5 of 25,2 of 10,,,,1 of 1,0 of 0,,,,1 of 1,0 of 0,,,,Heavyweight,W,70.0,74.0,-4.0,4.0,False,True,False,True,http://ufcstats.com/fighter-details/df05aa15b2d66f57|http://ufcstats.com/fighter-details/eef9b891edbd4604,0.7023445463812437,1.3773584905660377,False,True,-265.00000000000006
L,George Sotiropoulos,Dennis Siver,http://ufcstats.com/fighter-details/896c322f56b8be5a,http://ufcstats.com/fighter-details/5f87a5c00b3d17ed,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,Sal D'amato 28 - 29. Kon Papaioannou 28 - 30. Paul Sutherland 27 - 30.,--,--,2011-02-26,"Sydney, New South Wales, Australia",http://ufcstats.com/event-details/88a9bc81271ccd89,0,0.0,0.0,,,9 of 46,14 of 76,15 of 82,,,9 of 46,14 of 76,15 of 82,,,0 of 5,0 of 3,0 of 5,,,0,0.0,0.0,,,0,0.0,0.0,,,0:08,0:00,0:00,,,2,0.0,0.0,,,24 of 70,16 of 73,34 of 83,,,29 of 75,16 of 73,34 of 83,,,0 of 0,0 of 0,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,0:19,0:00,0:00,,,6 of 39,11 of 67,11 of 70,,,2 of 5,3 of 7,1 of 6,,,1 of 2,0 of 2,3 of 6,,,9 of 46,14 of 72,15 of 82,,,0 of 0,0 of 4,0 of 0,,,0 of 0,0 of 0,0 of 0,,,14 of 55,10 of 66,16 of 60,,,4 of 7,2 of 2,6 of 8,,,6 of 8,4 of 5,12 of 15,,,19 of 63,14 of 68,34 of 83,,,2 of 4,2 of 5,0 of 0,,,3 of 3,0 of 0,0 of 0,,,Lightweight,L,70.0,66.0,4.0,4.0,True,False,False,True,http://ufcstats.com/fighter-details/5f87a5c00b3d17ed|http://ufcstats.com/fighter-details/896c322f56b8be5a,0.7688442211055276,1.2777777777777777,False,True,-360.0000000000001
W,Donald Cerrone,Paul Kelly,http://ufcstats.com/fighter-details/1d00756835ca67c9,http://ufcstats.com/fighter-details/aac5ac38148f0528,Lightweight Bout,Submission,2,3:48,3 Rnd (5-5-5),Steve Mazzagatti,Rear Naked Choke,Cowboy,--,2011-02-05,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/65ddc8a9ac4e8531,0,0.0,,,,20 of 40,17 of 34,,,,31 of 53,31 of 48,,,,2 of 3,1 of 1,,,,0,1.0,,,,0,0.0,,,,1:55,1:36,,,,0,0.0,,,,12 of 41,10 of 34,,,,13 of 42,16 of 40,,,,0 of 0,0 of 0,,,,1,1.0,,,,0,0.0,,,,0:00,0:00,,,,6 of 25,8 of 21,,,,8 of 9,5 of 6,,,,6 of 6,4 of 7,,,,15 of 31,11 of 25,,,,1 of 2,1 of 4,,,,4 of 7,5 of 5,,,,11 of 38,5 of 26,,,,1 of 3,3 of 5,,,,0 of 0,2 of 3,,,,11 of 36,10 of 32,,,,1 of 3,0 of 2,,,,0 of 2,0 of 0,,,,Lightweight,W,73.0,69.0,4.0,4.0,True,True,True,False,http://ufcstats.com/fighter-details/1d00756835ca67c9|http://ufcstats.com/fighter-details/aac5ac38148f0528,0.7107039537126325,1.3636363636363638,True,True,-274.9999999999999
W,Miguel Torres,Antonio Banuelos,http://ufcstats.com/fighter-details/33b2f68ef95252e0,http://ufcstats.com/fighter-details/9ddfb3369a3b0394,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,Doug Crosby 27 - 30. Tony Weeks 27 - 30. Junichiro Kamijo 27 - 30.,--,--,2011-02-05,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/65ddc8a9ac4e8531,0,0.0,0.0,,,20 of 43,25 of 71,28 of 74,,,20 of 43,25 of 71,28 of 74,,,0 of 0,0 of 0,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,0:00,0:00,0:00,,,0,0.0,0.0,,,2 of 27,3 of 49,5 of 59,,,2 of 27,3 of 49,5 of 59,,,0 of 0,0 of 0,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,0:01,0:00,0:00,,,15 of 38,21 of 66,25 of 71,,,1 of 1,1 of 2,3 of 3,,,4 of 4,3 of 3,0 of 0,,,20 of 43,24 of 69,28 of 72,,,0 of 0,1 of 2,0 of 2,,,0 of 0,0 of 0,0 of 0,,,2 of 22,2 of 42,5 of 56,,,0 of 3,0 of 5,0 of 2,,,0 of 2,1 of 2,0 of 1,,,2 of 27,2 of 45,4 of 54,,,0 of 0,1 of 4,1 of 5,,,0 of 0,0 of 0,0 of 0,,,Bantamweight,W,69.0,65.0,4.0,4.0,True,True,True,False,http://ufcstats.com/fighter-details/33b2f68ef95252e0|http://ufcstats.com/fighter-details/9ddfb3369a3b0394,0.7482014388489209,1.3125,True,True,-320.0
L,Phil Baroni,Brad Tavares,http://ufcstats.com/fighter-details/1652f3213655b935,http://ufcstats.com/fighter-details/0c6d9ea8306c029e,Middleweight Bout,KO/TKO,1,4:20,3 Rnd (5-5-5),Josh Rosenthal,Punches to Head In Clinch,The New York Bad Ass,--,2011-01-01,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/d1152823307d7e7c,1,,,,,11 of 16,,,,,23 of 29,,,,,0 of 0,,,,,1,,,,,0,,,,,1:49,,,,,1,,,,,22 of 31,,,,,25 of 34,,,,,0 of 3,,,,,0,,,,,0,,,,,0:44,,,,,6 of 11,,,,,4 of 4,,,,,1 of 1,,,,,2 of 5,,,,,2 of 3,,,,,7 of 8,,,,,15 of 23,,,,,4 of 4,,,,,3 of 4,,,,,8 of 11,,,,,8 of 10,,,,,6 of 10,,,,,Middleweight,L,69.0,73.0,-4.0,4.0,False,False,True,False,http://ufcstats.com/fighter-details/0c6d9ea8306c029e|http://ufcstats.com/fighter-details/1652f3213655b935,0.7147147147147147,1.3571428571428572,True,True,-279.99999999999994
L,Takeya Mizugaki,Chris Cariaso,http://ufcstats.com/fighter-details/48e093ea1f43a053,http://ufcstats.com/fighter-details/b2e3aca4cd363477,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,Howard Hughes 28 - 29. Chris Lee 28 - 29. Chris Watts 28 - 29.,--,Kamikaze,2012-02-25,"Saitama, Japan",http://ufcstats.com/event-details/8377c5572cb356f3,0,0.0,0.0,,,9 of 34,8 of 30,11 of 24,,,23 of 54,23 of 47,24 of 40,,,1 of 2,1 of 2,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,2:44,2:20,3:01,,,0,0.0,0.0,,,8 of 29,15 of 29,14 of 19,,,25 of 46,22 of 36,28 of 37,,,0 of 0,0 of 0,0 of 1,,,0,0.0,0.0,,,0,1.0,0.0,,,0:03,0:24,0:56,,,8 of 30,6 of 25,6 of 19,,,0 of 1,1 of 2,5 of 5,,,1 of 3,1 of 3,0 of 0,,,4 of 23,2 of 23,0 of 5,,,0 of 1,1 of 1,7 of 10,,,5 of 10,5 of 6,4 of 9,,,8 of 29,7 of 18,6 of 11,,,0 of 0,8 of 11,7 of 7,,,0 of 0,0 of 0,1 of 1,,,6 of 26,6 of 18,2 of 5,,,2 of 3,9 of 11,12 of 14,,,0 of 0,0 of 0,0 of 0,,,Bantamweight,L,67.0,63.0,4.0,4.0,True,False,False,True,http://ufcstats.com/fighter-details/48e093ea1f43a053|http://ufcstats.com/fighter-details/b2e3aca4cd363477,0.7280334728033474,1.3448275862068966,False,True,-290.0
L,Louis Gaudinot,Johnny Bedford,http://ufcstats.com/fighter-details/b72a60a0cadff408,http://ufcstats.com/fighter-details/ffc3e6daaa6da0b7,Bantamweight Bout,KO/TKO,3,1:58,3 Rnd (5-5-5),Steve Mazzagatti,Knees to Body On Ground,Goodnight,Brutal,2011-12-03,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/1f5f75658551f2d3,0,0.0,0.0,,,3 of 10,1 of 8,2 of 11,,,4 of 11,12 of 19,2 of 11,,,0 of 0,0 of 0,0 of 2,,,0,0.0,0.0,,,0,0.0,0.0,,,0:00,0:00,0:00,,,0,0.0,1.0,,,31 of 54,27 of 43,24 of 43,,,70 of 99,52 of 77,33 of 53,,,2 of 3,2 of 3,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,4:20,4:22,0:39,,,1 of 7,0 of 6,2 of 10,,,0 of 0,0 of 0,0 of 0,,,2 of 3,1 of 2,0 of 1,,,0 of 6,1 of 6,1 of 8,,,3 of 4,0 of 2,1 of 3,,,0 of 0,0 of 0,0 of 0,,,23 of 44,20 of 35,7 of 23,,,7 of 9,7 of 8,15 of 18,,,1 of 1,0 of 0,2 of 2,,,4 of 11,3 of 8,3 of 15,,,5 of 6,7 of 8,7 of 9,,,22 of 37,17 of 27,14 of 19,,,Bantamweight,L,63.0,70.0,-7.0,7.0,False,False,True,False,http://ufcstats.com/fighter-details/b72a60a0cadff408|http://ufcstats.com/fighter-details/ffc3e6daaa6da0b7,0.6786155747836835,1.4444444444444444,True,True,-225.0
W,Mark Hunt,Cheick Kongo,http://ufcstats.com/fighter-details/eef9b891edbd4604,http://ufcstats.com/fighter-details/1eacf73d6a0055dc,Heavyweight Bout,KO/TKO,1,2:11,3 Rnd (5-5-5),Herb Dean,Punches to Head At Distance,Super Samoan,--,2012-02-25,"Saitama, Japan",http://ufcstats.com/event-details/8377c5572cb356f3,1,,,,,10 of 16,,,,,10 of 16,,,,,0 of 0,,,,,0,,,,,0,,,,,0:18,,,,,0,,,,,5 of 12,,,,,5 of 12,,,,,0 of 0,,,,,0,,,,,0,,,,,0:08,,,,,8 of 14,,,,,0 of 0,,,,,2 of 2,,,,,9 of 15,,,,,0 of 0,,,,,1 of 1,,,,,2 of 7,,,,,2 of 2,,,,,1 of 3,,,,,4 of 11,,,,,1 of 1,,,,,0 of 0,,,,,Heavyweight,W,70.0,76.0,-6.0,6.0,False,True,False,True,http://ufcstats.com/fighter-details/1eacf73d6a0055dc|http://ufcstats.com/fighter-details/eef9b891edbd4604,0.7234352256186317,1.3571428571428572,False,True,-279.99999999999994
W,Matthew Riddle,Henry Martinez,http://ufcstats.com/fighter-details/d023ae89a2a4a41e,http://ufcstats.com/fighter-details/76729a829623e266,Welterweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,Junichiro Kamijo 28 - 29. Cecil Peoples 29 - 28. Chris Lee 28 - 29.,Deep Waters,Sicario,2012-02-04,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/df2cf66d8c0123db,0,0.0,0.0,,,14 of 47,30 of 71,30 of 40,,,14 of 47,30 of 71,68 of 82,,,0 of 0,0 of 1,2 of 2,,,0,0.0,0.0,,,0,0.0,0.0,,,0:00,0:00,2:20,,,0,0.0,0.0,,,29 of 70,27 of 69,11 of 30,,,29 of 70,27 of 69,14 of 34,,,0 of 0,0 of 1,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,0:00,0:00,0:00,,,5 of 33,13 of 48,12 of 20,,,6 of 11,12 of 17,12 of 14,,,3 of 3,5 of 6,6 of 6,,,14 of 46,30 of 71,19 of 28,,,0 of 1,0 of 0,1 of 1,,,0 of 0,0 of 0,10 of 11,,,22 of 61,22 of 63,6 of 25,,,0 of 2,2 of 3,1 of 1,,,7 of 7,3 of 3,4 of 4,,,29 of 70,27 of 69,11 of 30,,,0 of 0,0 of 0,0 of 0,,,0 of 0,0 of 0,0 of 0,,,Welterweight,W,73.0,67.0,6.0,6.0,True,True,True,False,http://ufcstats.com/fighter-details/76729a829623e266|http://ufcstats.com/fighter-details/d023ae89a2a4a41e,0.7706195737963695,1.273972602739726,True,True,-365.0
L,Vladimir Matyushenko,Alexander Gustafsson,http://ufcstats.com/fighter-details/ccdd90bd1fc7dab6,http://ufcstats.com/fighter-details/3c6976f8182d9527,Light Heavyweight Bout,KO/TKO,1,2:13,3 Rnd (5-5-5),Yves Lavigne,Punch to Head At Distance,The Janitor,The Mauler,2011-12-30,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/91720876db0ee468,0,,,,,5 of 8,,,,,7 of 11,,,,,0 of 0,,,,,0,,,,,0,,,,,0:00,,,,,1,,,,,10 of 21,,,,,14 of 26,,,,,0 of 0,,,,,0,,,,,0,,,,,0:04,,,,,4 of 7,,,,,1 of 1,,,,,0 of 0,,,,,5 of 8,,,,,0 of 0,,,,,0 of 0,,,,,7 of 17,,,,,1 of 1,,,,,2 of 3,,,,,6 of 15,,,,,0 of 0,,,,,4 of 6,,,,,Light Heavyweight,L,72.0,77.0,-5.0,5.0,False,False,True,False,http://ufcstats.com/fighter-details/3c6976f8182d9527|http://ufcstats.com/fighter-details/ccdd90bd1fc7dab6,0.7542857142857142,1.303030303030303,True,True,-330.00000000000006
L,Dennis Siver,Donald Cerrone,http://ufcstats.com/fighter-details/5f87a5c00b3d17ed,http://ufcstats.com/fighter-details/1d00756835ca67c9,Lightweight Bout,Submission,1,2:22,3 Rnd (5-5-5),Herb Dean,Rear Naked Choke,--,Cowboy,2011-10-29,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/8788beb528894f33,0,,,,,12 of 21,,,,,14 of 23,,,,,0 of 2,,,,,0,,,,,0,,,,,0:38,,,,,2,,,,,9 of 23,,,,,9 of 23,,,,,0 of 0,,,,,1,,,,,0,,,,,0:10,,,,,6 of 13,,,,,3 of 3,,,,,3 of 5,,,,,10 of 17,,,,,2 of 4,,,,,0 of 0,,,,,5 of 16,,,,,2 of 3,,,,,2 of 4,,,,,7 of 16,,,,,1 of 6,,,,,1 of 1,,,,,Lightweight,L,66.0,73.0,-7.0,7.0,False,False,True,False,http://ufcstats.com/fighter-details/1d00756835ca67c9|http://ufcstats.com/fighter-details/5f87a5c00b3d17ed,0.6884445477795862,1.425531914893617,True,True,-235.00000000000003
W,Anthony Johnson,Charlie Brenneman,http://ufcstats.com/fighter-details/365fee2da473b177,http://ufcstats.com/fighter-details/98f6da59d765ec94,Welterweight Bout,KO/TKO,1,2:49,3 Rnd (5-5-5),Mario Yamasaki,Kick to Head At Distance,Rumble,The Spaniard,2011-10-01,"Washington, DC, USA",http://ufcstats.com/event-details/44f9c777fed7ca03,1,,,,,16 of 20,,,,,38 of 43,,,,,0 of 0,,,,,0,,,,,0,,,,,2:14,,,,,0,,,,,1 of 2,,,,,1 of 2,,,,,0 of 1,,,,,0,,,,,0,,,,,0:00,,,,,10 of 14,,,,,4 of 4,,,,,2 of 2,,,,,3 of 6,,,,,0 of 0,,,,,13 of 14,,,,,0 of 1,,,,,1 of 1,,,,,0 of 0,,,,,1 of 2,,,,,0 of 0,,,,,0 of 0,,,,,Welterweight,W,74.0,70.0,4.0,4.0,True,True,True,False,http://ufcstats.com/fighter-details/365fee2da473b177|http://ufcstats.com/fighter-details/98f6da59d765ec94,0.6551724137931034,1.5,True,True,-200.0
W,Marcus Brimage,Maximo Blanco,http://ufcstats.com/fighter-details/81801f57bd0a7c41,http://ufcstats.com/fighter-details/4a1329cc8eb0928a,Featherweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Will Fisher,Anthony Maness 29 - 28. Richard Bertrand 27 - 30. Chris Lee 28 - 29.,The Bama Beast,Maxi,2012-04-21,"Atlanta, Georgia, USA",http://ufcstats.com/event-details/155bfc7ed36622df,0,0.0,0.0,,,8 of 42,6 of 43,10 of 51,,,8 of 42,6 of 43,10 of 51,,,0 of 0,0 of 0,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,0:00,0:01,0:00,,,0,0.0,0.0,,,6 of 22,6 of 26,6 of 30,,,6 of 22,6 of 26,6 of 30,,,0 of 1,0 of 0,0 of 2,,,0,0.0,0.0,,,0,0.0,0.0,,,0:01,0:00,0:00,,,6 of 36,4 of 31,5 of 41,,,1 of 2,0 of 5,1 of 4,,,1 of 4,2 of 7,4 of 6,,,8 of 41,6 of 42,10 of 49,,,0 of 1,0 of 0,0 of 2,,,0 of 0,0 of 1,0 of 0,,,3 of 16,3 of 19,3 of 24,,,0 of 3,2 of 3,2 of 4,,,3 of 3,1 of 4,1 of 2,,,6 of 20,6 of 26,5 of 28,,,0 of 2,0 of 0,1 of 1,,,0 of 0,0 of 0,0 of 1,,,Featherweight,W,64.0,68.0,-4.0,4.0,False,True,False,True,http://ufcstats.com/fighter-details/4a1329cc8eb0928a|http://ufcstats.com/fighter-details/81801f57bd0a7c41,0.6884445477795862,1.425531914893617,False,True,-235.00000000000003
W,Philip De Fries,Oli Thompson,http://ufcstats.com/fighter-details/6ef65b6a152e49d5,http://ufcstats.com/fighter-details/dcdd511ff757f15c,Heavyweight Bout,Submission,2,4:16,3 Rnd (5-5-5),John McCarthy,Rear Naked Choke,--,--,2012-08-04,"Los Angeles, California, USA",http://ufcstats.com/event-details/f62850b3c7480db9,0,1.0,,,,11 of 26,24 of 51,,,,16 of 32,39 of 77,,,,1 of 4,1 of 2,,,,0,1.0,,,,0,0.0,,,,2:51,3:13,,,,0,0.0,,,,12 of 19,6 of 16,,,,20 of 28,9 of 19,,,,0 of 3,0 of 0,,,,0,0.0,,,,0,0.0,,,,0:49,0:00,,,,7 of 21,22 of 49,,,,3 of 4,2 of 2,,,,1 of 1,0 of 0,,,,4 of 18,11 of 30,,,,7 of 8,6 of 9,,,,0 of 0,7 of 12,,,,2 of 6,2 of 11,,,,8 of 10,3 of 3,,,,2 of 3,1 of 2,,,,4 of 9,4 of 14,,,,8 of 10,2 of 2,,,,0 of 0,0 of 0,,,,Heavyweight,W,77.0,73.0,4.0,4.0,True,True,True,False,http://ufcstats.com/fighter-details/6ef65b6a152e49d5|http://ufcstats.com/fighter-details/dcdd511ff757f15c,0.662676822633297,1.4761904761904765,True,True,-209.99999999999986
W,Donald Cerrone,Melvin Guillard,http://ufcstats.com/fighter-details/1d00756835ca67c9,http://ufcstats.com/fighter-details/ccd1299e0345e0ce,Lightweight Bout,KO/TKO,1,1:16,3 Rnd (5-5-5),Josh Rosenthal,Kick to Head At Distance,Cowboy,The Young Assassin,2012-08-11,"Denver, Colorado, USA",http://ufcstats.com/event-details/3c48019bc387b80c,1,,,,,4 of 9,,,,,4 of 9,,,,,0 of 0,,,,,0,,,,,0,,,,,0:02,,,,,1,,,,,10 of 28,,,,,10 of 28,,,,,0 of 0,,,,,0,,,,,0,,,,,0:04,,,,,3 of 7,,,,,0 of 1,,,,,1 of 1,,,,,4 of 9,,,,,0 of 0,,,,,0 of 0,,,,,8 of 24,,,,,2 of 4,,,,,0 of 0,,,,,4 of 16,,,,,6 of 11,,,,,0 of 1,,,,,Lightweight,W,73.0,69.0,4.0,4.0,True,True,True,False,http://ufcstats.com/fighter-details/1d00756835ca67c9|http://ufcstats.com/fighter-details/ccd1299e0345e0ce,0.7572205943909586,1.2985074626865671,True,True,-335.00000000000006
