method_id,feature,op,threshold,pre_score,holdout_base_n,holdout_base_roi,removed_wins,removed_losses,safe_n,safe_roi,roi_change,loss_rate_change,confirmed
NFL-H053,hc_prior_games_current_stint,<=,22.799999999999997,0.8028625649293657,57,0.23912280701754382,8,18,31,0.2719354838709677,0.0328126768534239,-0.021505376344086113,True
NFL-H010,dc_prior_win_pct,<=,0.5,0.6334600779967159,40,0.32175,9,9,22,0.440909090909091,0.11915909090909099,-0.040909090909090895,False
NFL-H005,oc_prior_win_pct,<=,0.47976119402985073,0.6936949463726325,41,0.3602439024390244,7,7,27,0.4411111111111111,0.08086720867208674,-0.031616982836494945,False
NFL-H049,adv_hc_prior_games_current_stint,<=,-25.95,1.0506208993010984,42,0.29380952380952385,11,11,20,0.35850000000000004,0.06469047619047619,-0.02619047619047621,False
NFL-H004,adv_dc_prior_role_seasons,>=,1.0,1.171186320791584,34,0.4758823529411765,4,4,26,0.5399999999999999,0.06411764705882345,-0.02714932126696834,False
NFL-H004,adv_dc_prior_games,>=,13.0,0.9710074500688106,34,0.4758823529411765,4,4,26,0.5399999999999999,0.06411764705882345,-0.02714932126696834,False
NFL-H016,adv_staff_change_count,>=,1.0,0.38570127877237853,45,0.2613333333333333,5,6,34,0.32294117647058823,0.061607843137254925,-0.018300653594771288,False
NFL-H003,adv_dc_prior_role_seasons,>=,1.0,1.1060615069407786,43,0.43744186046511624,5,5,33,0.49575757575757573,0.05831571529245949,-0.02466525722339674,False
NFL-H003,adv_dc_prior_games,>=,11.899999999999999,0.9903330400054152,43,0.43744186046511624,5,5,33,0.49575757575757573,0.05831571529245949,-0.02466525722339674,False
NFL-H029,adv_hc_prior_games_current_stint,>=,12.5,0.532629986717643,60,0.21783333333333338,14,14,32,0.2734375,0.05560416666666662,-0.014583333333333282,False
NFL-H019,adv_oc_prior_role_seasons,<=,-1.0,1.1122801849051849,33,0.29363636363636364,6,6,21,0.3476190476190476,0.053982683982683966,-0.008658008658008698,False
NFL-H002,oc_prior_games,<=,6.75,1.2104255374011954,47,0.49489361702127654,3,3,41,0.5458536585365854,0.05096004151530886,-0.020238713025428123,False
