division,market_prob_min,min_height_gap_in,all_n,all_wins,all_win_rate,all_ci_low,all_ci_high,discovery_n,discovery_wins,discovery_win_rate,discovery_ci_low,discovery_ci_high,validation_n,validation_wins,validation_win_rate,validation_ci_low,validation_ci_high
Heavyweight,0.6,4,45,30,0.6666666666666666,0.520702168092554,0.7864130779272324,28,18,0.6428571428571429,0.4582997758222723,0.7929438802754113,17,12,0.7058823529411765,0.468664666737861,0.8672020613444361
Heavyweight,0.6,5,27,19,0.7037037037037037,0.515189666191624,0.8414714668235244,17,11,0.6470588235294118,0.4129996672121182,0.826905138560951,10,8,0.8,0.49015684672072335,0.9433190520193067
Heavyweight,0.65,1,94,73,0.776595744680851,0.6824893271662207,0.8489819488554307,63,47,0.746031746031746,0.6265857791515483,0.8371972541690185,31,26,0.8387096774193549,0.6736529727502113,0.9290748009456006
Heavyweight,0.65,2,70,54,0.7714285714285715,0.6604944698154658,0.8541205981137232,48,35,0.7291666666666666,0.5900276538379887,0.8343419643836709,22,19,0.8636363636363636,0.6666458812053,0.9525108273576373
Heavyweight,0.65,3,42,31,0.7380952380952381,0.5893098001502445,0.8469751462739642,30,21,0.7,0.5212387898833981,0.8333543735604105,12,10,0.8333333333333334,0.5519636426153274,0.9530358523851776
Heavyweight,0.65,4,31,22,0.7096774193548387,0.5340734004245933,0.8390437928156713,20,13,0.65,0.43285051021946463,0.8188104521320554,11,9,0.8181818181818182,0.5230138624217553,0.9486333993289995
Heavyweight,0.65,5,19,13,0.6842105263157895,0.4601001017506463,0.846358289955714,11,7,0.6363636363636364,0.35379677689163724,0.8483377638586862,8,6,0.75,0.40926987910258916,0.9285223111419724
Heavyweight,0.7,1,66,50,0.7575757575757576,0.6419064250894373,0.8449094554173093,45,33,0.7333333333333333,0.5896088330282471,0.8403525113994538,21,17,0.8095238095238095,0.599990134607267,0.9233255938482269
Heavyweight,0.7,2,48,37,0.7708333333333334,0.6346046409154885,0.8669230897101096,35,26,0.7428571428571429,0.5793037572935127,0.8583713127344985,13,11,0.8461538461538461,0.5776482949136899,0.9567427368172621
Heavyweight,0.7,3,26,19,0.7307692307692307,0.5391659658023868,0.8629572447493261,20,14,0.7,0.4810232237710206,0.854524726031006,6,5,0.8333333333333334,0.43649056343635395,0.9699474141282697
Heavyweight,0.7,4,18,12,0.6666666666666666,0.4374906934425036,0.8372144563633714,13,8,0.6153846153846154,0.35522480972268555,0.8229055341876319,5,4,0.8,0.3755282641185388,0.9637768390302125
Heavyweight,0.7,5,10,7,0.7,0.39677321997956516,0.892210712513788,6,4,0.6666666666666666,0.29998832134152864,0.9032306674407831,4,3,0.75,0.3006360524426366,0.9544139373553637
