family,rule,n,wins,win_rate,roi,profit100,pre2020_n,pre2020_roi,recent_n,recent_roi,existing_overlap
RING_RUST_EDGE,mkt 0.550-0.700; layoff_gap>=90; opp_layoff>=180; fav_layoff<=120,86,52,0.6046511627906976,-0.03826621480998886,-329.0894473659042,41,-0.17626972087078724,45,0.08747031293429411,0.08139534883720931
RING_RUST_EDGE,mkt 0.550-0.725; layoff_gap>=90; opp_layoff>=180; fav_layoff<=180,199,123,0.6180904522613065,-0.05989107869883764,-1191.832466106869,95,-0.13327161258715456,104,0.007139216679913336,0.1457286432160804
RING_RUST_EDGE,mkt 0.550-0.750; layoff_gap>=90; opp_layoff>=180; fav_layoff<=180,222,140,0.6306306306306306,-0.05689605531073734,-1263.092427898369,108,-0.11575952618706527,114,-0.0011306618489530101,0.21171171171171171
RING_RUST_EDGE,mkt 0.550-0.775; layoff_gap>=90; opp_layoff>=180; fav_layoff<=180,238,152,0.6386554621848739,-0.05611183191484078,-1335.4615995732106,118,-0.10353714477297654,120,-0.009476940937673964,0.24789915966386555
RING_RUST_EDGE,mkt 0.550-0.800; layoff_gap>=90; opp_layoff>=180; fav_layoff<=180,251,163,0.649402390438247,-0.05123460110380965,-1285.9884877056222,122,-0.1026205628246441,129,-0.00263702490271041,0.2788844621513944
RING_RUST_EDGE,mkt 0.575-0.700; layoff_gap>=90; opp_layoff>=180; fav_layoff<=180,149,84,0.5637583892617449,-0.13911015512546213,-2072.7413113693856,71,-0.12747616206498646,78,-0.14970007188563866,0.10738255033557047
RING_RUST_EDGE,mkt 0.575-0.725; layoff_gap>=90; opp_layoff>=180; fav_layoff<=180,174,106,0.6091954022988506,-0.09281171276139764,-1614.923802048319,84,-0.10176500673804363,90,-0.08445530504986139,0.16666666666666666
RING_RUST_EDGE,mkt 0.575-0.750; layoff_gap>=90; opp_layoff>=180; fav_layoff<=180,197,123,0.6243654822335025,-0.08559308445887408,-1686.1837638398192,97,-0.08648954843730963,100,-0.08472351439979157,0.23857868020304568
RING_RUST_EDGE,mkt 0.575-0.775; layoff_gap>=90; opp_layoff>=180; fav_layoff<=180,213,135,0.6338028169014085,-0.08256117068143946,-1758.5529355146605,107,-0.07574617246193663,106,-0.08944046133697534,0.27699530516431925
RING_RUST_EDGE,mkt 0.575-0.800; layoff_gap>=90; opp_layoff>=180; fav_layoff<=180,226,146,0.6460176991150443,-0.07562300104633064,-1709.0798236470725,111,-0.07574023454795108,115,-0.0755098452317231,0.30973451327433627
RING_RUST_EDGE,mkt 0.600-0.700; layoff_gap>=90; opp_layoff>=180; fav_layoff<=180,119,66,0.5546218487394958,-0.17165138302620211,-2042.6514580118053,55,-0.17673528058339605,64,-0.16728240856298868,0.13445378151260504
RING_RUST_EDGE,mkt 0.600-0.725; layoff_gap>=90; opp_layoff>=180; fav_layoff<=180,144,88,0.6111111111111112,-0.11005791310352357,-1584.8339486907394,68,-0.13555725722747666,76,-0.0872427104663024,0.2013888888888889
RING_RUST_EDGE,mkt 0.600-0.750; layoff_gap>=90; opp_layoff>=180; fav_layoff<=180,167,105,0.6287425149700598,-0.09916730002887662,-1656.0939104822396,81,-0.1118409768381701,86,-0.08723046489454205,0.281437125748503
RING_RUST_EDGE,mkt 0.600-0.775; layoff_gap>=90; opp_layoff>=180; fav_layoff<=180,183,117,0.639344262295082,-0.0944515345441028,-1728.463082157081,91,-0.09642278438351609,92,-0.09250171133337874,0.3224043715846995
RING_RUST_EDGE,mkt 0.600-0.800; layoff_gap>=90; opp_layoff>=180; fav_layoff<=180,196,128,0.6530612244897959,-0.08566275358619861,-1678.9899702894927,95,-0.09554525221363488,101,-0.0763673340851447,0.35714285714285715
RING_RUST_EDGE,mkt 0.625-0.700; layoff_gap>=90; opp_layoff>=180; fav_layoff<=180,82,46,0.5609756097560976,-0.18362299743931262,-1505.7085790023634,33,-0.20717908324501544,49,-0.16775869475383925,0.1951219512195122
RING_RUST_EDGE,mkt 0.625-0.725; layoff_gap>=90; opp_layoff>=180; fav_layoff<=180,107,68,0.6355140186915887,-0.09793374483002776,-1047.891069681297,46,-0.13770353927102472,61,-0.06794340803845625,0.27102803738317754
RING_RUST_EDGE,mkt 0.625-0.750; layoff_gap>=90; opp_layoff>=180; fav_layoff<=180,130,85,0.6538461538461539,-0.08608854088252285,-1119.151031472797,59,-0.1046709904896696,71,-0.07064678698362627,0.36153846153846153
RING_RUST_EDGE,mkt 0.625-0.775; layoff_gap>=90; opp_layoff>=180; fav_layoff<=180,146,97,0.6643835616438356,-0.08161097281833139,-1191.5202031476383,69,-0.08537598107099553,77,-0.07823713425425577,0.4041095890410959
RING_RUST_EDGE,mkt 0.625-0.800; layoff_gap>=90; opp_layoff>=180; fav_layoff<=180,159,108,0.6792452830188679,-0.07182686108679562,-1142.0470912800504,73,-0.0848392914423841,86,-0.06078142601751702,0.44025157232704404
RING_RUST_EDGE,mkt 0.650-0.700; layoff_gap>=90; opp_layoff>=180; fav_layoff<=180,55,32,0.5818181818181818,-0.16808090622762295,-924.4449842519263,22,-0.01899958309848139,33,-0.2674684549803841,0.2909090909090909
