family,rule,n,wins,win_rate,roi,profit100,pre2020_n,pre2020_roi,recent_n,recent_roi,existing_overlap,worst_era_roi,novelty,score
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.575-0.725; fav_fights>=8; opp_fights<=6; career_gap>=0.00,101,77,0.7623762376237624,0.14594071873715594,1474.001259245275,49,0.1518633521903655,52,0.14035977567547767,0.1188118811881188,0.14035977567547767,0.8811881188118812,0.21787467079783868
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.600-0.800; fav_fights>=8; opp_fights<=5; career_gap>=0.00,83,68,0.8192771084337349,0.15878752965650617,1317.9364961490012,39,0.18095113104510874,44,0.13914251933479027,0.24096385542168675,0.13914251933479027,0.7590361445783133,0.21748923905191683
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.550-0.775; fav_fights>=10; opp_fights<=6; career_gap>=0.05,55,42,0.7636363636363637,0.14386599424399002,791.2629683419451,30,0.1404879241012398,25,0.14791967841529025,0.14545454545454545,0.1404879241012398,0.8545454545454545,0.21647738572299993
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.575-0.800; fav_fights>=8; opp_fights<=5; career_gap>=0.05,84,69,0.8214285714285714,0.18953255482274292,1592.0734605110406,39,0.2641259253845901,45,0.12488496700247538,0.16666666666666666,0.12488496700247538,0.8333333333333334,0.2162213611904354
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.600-0.775; fav_fights>=8; opp_fights<=4; career_gap>=0.00,67,54,0.8059701492537313,0.16096776376570732,1078.484017230239,30,0.19463062505215278,37,0.1336735519118326,0.19402985074626866,0.1336735519118326,0.8059701492537313,0.2141913737074421
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.600-0.725; fav_fights>=8; opp_fights<=6; career_gap>=0.00,74,59,0.7972972972972973,0.17084549035731586,1264.2566286441374,37,0.21346363408805963,37,0.12822734662657215,0.16216216216216217,0.12822734662657215,0.8378378378378378,0.2131584033867678
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.600-0.775; fav_fights>=8; opp_fights<=5; career_gap>=0.00,77,62,0.8051948051948052,0.1542676589100254,1187.8609736071955,35,0.1767496599681123,42,0.1355326580282863,0.23376623376623376,0.1355326580282863,0.7662337662337663,0.2125133516338082
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.600-0.750; fav_fights>=8; opp_fights<=4; career_gap>=0.00,62,50,0.8064516129032258,0.17266293521627862,1070.5101983409274,27,0.2328503089055275,35,0.12623267551314374,0.16129032258064516,0.12623267551314374,0.8387096774193549,0.21182599316142192
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.550-0.800; fav_fights>=8; opp_fights<=3; career_gap>=0.00,63,51,0.8095238095238095,0.17023523336243646,1072.4819701833496,31,0.1259951108544322,32,0.2130928520420656,0.12698412698412698,0.1259951108544322,0.873015873015873,0.21176791872176115
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.550-0.750; fav_fights>=10; opp_fights<=6; career_gap>=0.05,54,41,0.7592592592592593,0.1415251743175774,764.235941314918,29,0.13601267078506632,25,0.14791967841529025,0.12962962962962962,0.13601267078506632,0.8703703703703703,0.21165759290732952
