track,price_band,venue,conditions,full_n,full_win_pct,full_roi,train_n,train_win_pct,train_roi,validation_n,validation_win_pct,validation_roi,holdout_n,holdout_win_pct,holdout_roi,positive_season_ratio,recent_delta,user_preferred,score
LONG,DOG35_44,ANY,"[[""adv_oc_prior_win_pct"", "">="", -0.043498168498168455], [""adv_prior_road_miles_last3"", "">="", 771.947424527586]]",85,0.5764705882352941,0.44811764705882356,23,0.6956521739130435,0.7286956521739133,33,0.5757575757575758,0.4454545454545455,29,0.4827586206896552,0.2286206896551724,0.7777777777777778,-0.35845440915905696,False,0.3830546212158796
MODERN,PK_55,AWAY,"[[""coachq_oc_quality_delta_vs_departed"", ""<="", 0.09114583333333337], [""rank_edge_def_allowed_early_down_epa"", ""<="", 2.0]]",88,0.6022727272727273,0.22027090618705755,32,0.59375,0.17415881695807556,18,0.6666666666666666,0.3491339722471799,26,0.6153846153846154,0.2767631052375057,0.7777777777777778,0.015116710634877961,False,0.382595377058663
LONG,DOG35_44,HOME,"[[""coachq_staff_downgrade_count"", ""<="", 0.0], [""rank_edge_punt_return_average"", "">="", 8.0]]",84,0.5714285714285714,0.4098809523809524,34,0.5588235294117647,0.3985294117647059,20,0.65,0.593,30,0.5333333333333333,0.30066666666666664,0.7,-0.1950980392156863,False,0.3823589429358608
MODERN,DOG35_49,AWAY,"[[""coachq_oc_prior_quality"", ""<="", 0.609375], [""rank_edge_pass_epa_per_dropback"", "">="", 7.0]]",92,0.5108695652173914,0.22032608695652173,37,0.5405405405405406,0.2832432432432432,15,0.4666666666666667,0.08600000000000002,24,0.5416666666666666,0.305,0.6842105263157895,0.12037837837837839,False,0.3813680428294117
MODERN,DOG20_34,AWAY,"[[""adv_staff_quality_mean"", "">="", -0.03400997150997165], [""rank_edge_def_allowed_giveaway_rate"", "">="", -5.0]]",232,0.3706896551724138,0.30474137931034484,88,0.4090909090909091,0.504090909090909,32,0.4375,0.489375,55,0.4,0.39690909090909093,0.631578947368421,-0.09982386363636359,False,0.38103262684137823
LONG,DOG20_34,AWAY,"[[""coachq_staff_quality_mean"", "">="", 0.5564903846153846], [""recent_edge_sack_or_hit_rate"", "">="", 0.02440876786051755]]",113,0.40707964601769914,0.4364601769911505,32,0.40625,0.38156249999999997,49,0.42857142857142855,0.5330612244897959,32,0.375,0.34343749999999995,0.5789473684210527,-0.113874362244898,False,0.3782167866059633
LONG,FAV55_65,AWAY,"[[""coachq_dc_prior_win_pct"", ""<="", 0.6045454545454546], [""rank_edge_punt_return_average"", "">="", 1.0]]",159,0.7169811320754716,0.1914570043176232,47,0.7659574468085106,0.2747711204863358,50,0.68,0.13551045768617165,62,0.7096774193548387,0.17341771192476965,0.8947368421052632,-0.031723077161484065,False,0.37717306584759125
MODERN,FAV55_65,HOME,"[[""coachq_dc_prior_win_pct"", "">="", 0.4636752136752137], [""recent_edge_punt_return_average"", "">="", 3.972222222222223]]",98,0.7755102040816326,0.2836964240982935,35,0.8,0.3069217849898847,16,0.875,0.4530835121361415,31,0.7419354838709677,0.23863895750900346,0.7368421052631579,-0.14136369105400967,False,0.37276359814406823
MODERN,PK_55,AWAY,"[[""coachq_dc_quality_delta_vs_departed"", "">="", -0.00416666666666668], [""rank_edge_def_allowed_success_rate"", ""<="", 9.0]]",108,0.6111111111111112,0.22787872413131166,42,0.6190476190476191,0.23216801130960216,18,0.7222222222222222,0.4521651598267844,27,0.6296296296296297,0.2700380053742129,0.7777777777777778,-0.07212858019398039,False,0.37227213889034017
LONG,DOG35_49,AWAY,"[[""coachq_dc_quality_delta_vs_departed"", "">="", -0.01822916666666663], [""rank_edge_off_epa_per_play"", "">="", 8.0]]",72,0.5555555555555556,0.3104166666666667,27,0.5555555555555556,0.27555555555555555,26,0.5769230769230769,0.39,19,0.5263157894736842,0.25105263157894736,0.7647058823529411,-0.08172514619883042,False,0.37098461100039304
