candidate_id,bucket,week_lo,week_hi,n,wins,losses,roi,units,trainval_n,trainval_roi,holdout_n,holdout_roi
NFL-H035,W15_18,15,18,32,15,17,0.10875000000000007,3.480000000000002,19,0.36894736842105263,13,-0.27153846153846156
NFL-NW160,W4_6,4,6,24,11,13,0.041666666666666664,1.0,18,0.10166666666666666,6,-0.13833333333333334
NFL-NW160,W7_10,7,10,22,14,8,0.5086363636363637,11.19,13,0.5007692307692307,9,0.52
NFL-NW160,W11_14,11,14,29,18,11,0.4606896551724138,13.36,21,0.5819047619047618,8,0.14250000000000007
NFL-NW160,W15_18,15,18,26,14,12,0.34423076923076923,8.95,18,0.5138888888888888,8,-0.03749999999999998
NFL-C009,W4_6,4,6,35,19,16,0.29571428571428576,10.350000000000001,25,0.2432,10,0.42699999999999994
NFL-C009,W7_10,7,10,35,19,16,0.2988571428571429,10.46,25,0.36680000000000007,10,0.129
NFL-C009,W11_14,11,14,39,24,15,0.45435897435897443,17.720000000000002,28,0.5039285714285714,11,0.3281818181818182
NFL-C009,W15_18,15,18,31,15,16,0.17161290322580647,5.32,19,0.40789473684210514,12,-0.2025
NFL-H044,W4_6,4,6,17,9,8,0.3235294117647059,5.5,16,0.40625,1,-1.0
NFL-H044,W7_10,7,10,17,11,6,0.6241176470588234,10.61,13,0.7284615384615385,4,0.285
NFL-H044,W11_14,11,14,22,14,8,0.6336363636363637,13.94,16,0.640625,6,0.6150000000000001
NFL-H044,W15_18,15,18,20,9,11,0.10750000000000001,2.1500000000000004,12,0.020833333333333332,8,0.23750000000000004
NFL-NW157,W4_6,4,6,18,9,9,0.22444444444444445,4.04,10,0.4579999999999999,8,-0.0675
NFL-NW157,W7_10,7,10,28,16,12,0.3735714285714286,10.46,17,0.4347058823529411,11,0.27909090909090906
NFL-NW157,W11_14,11,14,33,18,15,0.2660606060606061,8.780000000000001,20,0.13800000000000004,13,0.4630769230769231
NFL-NW157,W15_18,15,18,24,10,14,0.0012500000000000104,0.03000000000000025,16,0.21562500000000007,8,-0.4275
NFL-NW140,W4_6,4,6,5,2,3,-0.006000000000000005,-0.030000000000000027,2,-1.0,3,0.6566666666666666
NFL-NW140,W7_10,7,10,22,11,11,0.3181818181818181,6.999999999999999,16,0.5,6,-0.16666666666666663
NFL-NW140,W11_14,11,14,19,10,9,0.27736842105263154,5.27,11,0.3372727272727273,8,0.19500000000000003
NFL-NW140,W15_18,15,18,24,18,6,0.8849999999999999,21.24,21,0.9133333333333334,3,0.6866666666666666
NFL-H081,W4_6,4,6,14,8,6,0.49571428571428566,6.9399999999999995,12,0.5366666666666666,2,0.25
NFL-H081,W7_10,7,10,29,18,11,0.5893103448275862,17.09,21,0.71,8,0.2725
NFL-H081,W11_14,11,14,29,12,17,0.05827586206896549,1.6899999999999993,23,-0.00521739130434785,6,0.3016666666666667
NFL-H081,W15_18,15,18,20,10,10,0.2924999999999999,5.849999999999999,14,0.3092857142857142,6,0.25333333333333335
NFL-C010,W4_6,4,6,37,20,17,0.33108108108108103,12.249999999999998,17,0.8905882352941175,12,-0.18333333333333335
NFL-C010,W7_10,7,10,55,26,29,0.19472727272727275,10.71,23,0.20434782608695654,17,0.3500000000000001
NFL-C010,W11_14,11,14,62,27,35,0.09758064516129031,6.049999999999999,27,0.4099999999999999,14,0.052142857142857144
NFL-C010,W15_18,15,18,36,15,21,0.015000000000000006,0.5400000000000003,12,-0.38166666666666665,15,0.15866666666666665
NFL-NW156,W4_6,4,6,74,47,27,0.2723673673076485,20.155185180765987,48,0.3334178451817093,26,0.1596587927709209
NFL-NW156,W7_10,7,10,48,27,21,0.12425849399734713,5.964407711872663,33,0.02509784299064143,15,0.34241192621209965
NFL-NW156,W11_14,11,14,7,4,3,0.09697869951766079,0.6788508966236255,5,0.5357701793247251,2,-1.0
NFL-NW156,W15_18,15,18,7,5,2,0.489636803874092,3.4274576271186437,5,0.6454915254237287,2,0.09999999999999998
NFL-NW135,W4_6,4,6,16,9,7,0.38,6.08,11,0.42363636363636364,5,0.28400000000000003
NFL-NW135,W7_10,7,10,22,15,7,0.7209090909090909,15.860000000000001,17,0.9258823529411765,5,0.023999999999999976
NFL-NW135,W11_14,11,14,25,10,15,-0.08039999999999999,-2.01,12,-0.4541666666666666,13,0.2646153846153846
NFL-NW135,W15_18,15,18,23,14,9,0.5065217391304349,11.650000000000002,18,0.6549999999999999,5,-0.02799999999999998
NFL-NW145,W4_6,4,6,14,9,5,0.5814285714285715,8.14,11,0.45454545454545453,3,1.0466666666666666
NFL-NW145,W7_10,7,10,20,13,7,0.648,12.96,16,0.905,4,-0.38
NFL-NW145,W11_14,11,14,23,11,12,0.15173913043478263,3.49,16,0.19124999999999998,7,0.06142857142857142
NFL-NW145,W15_18,15,18,22,12,10,0.34181818181818185,7.520000000000001,12,0.4633333333333334,10,0.196
NFL-NW022,W4_6,4,6,14,8,6,0.47428571428571425,6.64,9,0.14666666666666664,5,1.064
NFL-NW022,W7_10,7,10,16,10,6,0.574375,9.19,12,0.6625,4,0.31000000000000005
NFL-NW022,W11_14,11,14,23,12,11,0.30826086956521737,7.09,18,0.15333333333333332,5,0.866
NFL-NW022,W15_18,15,18,18,9,9,0.1988888888888889,3.58,14,0.3728571428571429,4,-0.41
NFL-NW086,W4_6,4,6,29,17,12,0.41275862068965513,11.969999999999999,13,0.6707692307692308,9,0.07666666666666669
NFL-NW086,W7_10,7,10,53,27,26,0.2664150943396227,14.120000000000001,19,0.4784210526315789,18,0.0861111111111111
NFL-NW086,W11_14,11,14,63,30,33,0.1807936507936508,11.39,22,0.155,21,0.15047619047619049
NFL-NW086,W15_18,15,18,38,21,17,0.3831578947368421,14.559999999999999,14,0.265,14,0.6014285714285715
NFL-NW154,W4_6,4,6,17,6,11,-0.12764705882352942,-2.17,12,-0.19000000000000003,5,0.02200000000000002
NFL-NW154,W7_10,7,10,25,11,14,0.11999999999999998,2.9999999999999996,16,0.2775,9,-0.16
NFL-NW154,W11_14,11,14,28,14,14,0.22892857142857143,6.41,20,0.26499999999999996,8,0.13875
NFL-NW154,W15_18,15,18,25,17,8,0.6848000000000001,17.12,13,0.8769230769230768,12,0.47666666666666674
NFL-NW164,W4_6,4,6,15,14,1,0.35932579931155856,5.3898869896733785,8,0.28653963930270754,3,0.46343914695428357
NFL-NW164,W7_10,7,10,25,21,4,0.20788139235758815,5.197034808939704,14,0.22837709999476652,6,0.20775116133682628
NFL-NW164,W11_14,11,14,27,24,3,0.2639356742144386,7.126263203789842,13,0.3163058860583034,5,0.13608496801173525
NFL-NW164,W15_18,15,18,27,19,8,0.0183231648198781,0.4947254501367087,17,0.1832669542158131,7,-0.1539191108711892
NFL-H079,W4_6,4,6,56,25,31,0.11839285714285715,6.63,41,0.08926829268292688,15,0.19799999999999998
NFL-H079,W7_10,7,10,64,31,33,0.21921875000000002,14.030000000000001,41,0.416829268292683,23,-0.13304347826086957
NFL-H079,W11_14,11,14,88,39,49,0.1342045454545455,11.810000000000002,65,0.035384615384615375,23,0.4134782608695652
NFL-H079,W15_18,15,18,65,28,37,0.09476923076923077,6.16,40,0.1735,25,-0.03120000000000002
NFL-C012,W4_6,4,6,70,33,37,0.16728571428571426,11.709999999999999,46,0.17282608695652174,24,0.15666666666666668
NFL-C012,W7_10,7,10,95,49,46,0.2990526315789474,28.410000000000004,68,0.37911764705882356,27,0.0974074074074074
NFL-C012,W11_14,11,14,88,44,44,0.24227272727272728,21.32,52,0.2603846153846154,36,0.21611111111111114
NFL-C012,W15_18,15,18,72,36,36,0.2544444444444445,18.32,45,0.39200000000000007,27,0.025185185185185168
NFL-NW170,W4_6,4,6,26,22,4,0.2104650000438291,5.472090001139557,9,0.26938680492633693,9,0.2733097350842216
NFL-NW170,W7_10,7,10,32,26,6,0.17333862354137228,5.546835953323913,17,0.19438720410855204,3,-0.03550059832469088
NFL-NW170,W11_14,11,14,31,25,6,0.15519387526942227,4.811010133352091,10,0.015291060594128592,8,0.23608756593147318
NFL-NW170,W15_18,15,18,34,25,9,0.041417913347021204,1.4082090537987209,15,0.23249920314364075,9,-0.05793044162730962
NFL-C013,W4_6,4,6,46,31,15,0.6217391304347826,28.599999999999998,33,0.6096969696969696,13,0.6523076923076924
NFL-C013,W7_10,7,10,65,37,28,0.3650769230769231,23.73,45,0.43844444444444447,20,0.2
NFL-C013,W11_14,11,14,62,21,41,-0.20032258064516126,-12.419999999999998,46,-0.23565217391304347,16,-0.09875
NFL-C013,W15_18,15,18,42,25,17,0.41976190476190484,17.630000000000003,32,0.5828125,10,-0.10200000000000001
NFL-H057,W4_6,4,6,42,20,22,0.19928571428571432,8.370000000000001,31,0.20903225806451609,11,0.17181818181818184
NFL-H057,W7_10,7,10,53,29,24,0.3758490566037736,19.92,38,0.4621052631578948,15,0.15733333333333333
NFL-H057,W11_14,11,14,70,35,35,0.23699999999999996,16.589999999999996,52,0.3057692307692308,18,0.038333333333333365
NFL-H057,W15_18,15,18,53,30,23,0.43113207547169813,22.85,32,0.579375,21,0.20523809523809527
NFL-C011,W4_6,4,6,47,26,21,0.2734042553191489,12.85,33,0.3209090909090909,14,0.16142857142857142
NFL-C011,W7_10,7,10,55,35,20,0.5458181818181819,30.020000000000003,39,0.6130769230769231,16,0.381875
NFL-C011,W11_14,11,14,56,25,31,0.0375,2.1,41,-0.03878048780487805,15,0.24600000000000002
NFL-C011,W15_18,15,18,40,18,22,0.07999999999999999,3.1999999999999997,22,0.3463636363636364,18,-0.24555555555555555
NFL-C014,W4_6,4,6,41,17,24,0.025121951219512238,1.0300000000000018,18,0.3572222222222223,9,-0.1588888888888889
NFL-C014,W7_10,7,10,55,25,30,0.15618181818181825,8.590000000000003,24,0.37541666666666673,18,-0.010555555555555528
NFL-C014,W11_14,11,14,84,38,46,0.1595238095238095,13.399999999999999,39,0.2653846153846154,19,0.18052631578947367
NFL-C014,W15_18,15,18,52,26,26,0.24557692307692308,12.77,18,0.1322222222222222,21,0.3071428571428571
NFL-T007,W4_6,4,6,31,12,19,-0.03677419354838708,-1.1399999999999995,19,0.058421052631578964,12,-0.1875
NFL-T007,W7_10,7,10,93,41,52,0.11182795698924733,10.400000000000002,60,0.2945,33,-0.2203030303030303
NFL-T007,W11_14,11,14,91,47,44,0.28362637362637366,25.810000000000002,61,0.15213114754098359,30,0.551
NFL-T007,W15_18,15,18,68,36,32,0.3226470588235294,21.939999999999998,37,0.4186486486486486,31,0.20806451612903226
NFL-H069,W4_6,4,6,92,50,42,0.2961956521739131,27.250000000000004,62,0.34064516129032263,30,0.20433333333333334
NFL-H069,W7_10,7,10,119,66,53,0.3351260504201681,39.88,88,0.35318181818181815,31,0.28387096774193543
NFL-H069,W11_14,11,14,130,51,79,-0.06523076923076922,-8.479999999999999,93,-0.18172043010752686,37,0.22756756756756757
NFL-H069,W15_18,15,18,99,44,55,0.06666666666666667,6.6,65,0.18892307692307692,34,-0.16705882352941176
NFL-NW165,W4_6,4,6,20,9,11,0.18350000000000002,3.6700000000000004,14,0.14714285714285716,6,0.26833333333333337
NFL-NW165,W7_10,7,10,25,15,10,0.5148,12.870000000000001,19,0.726842105263158,6,-0.15666666666666662
NFL-NW165,W11_14,11,14,26,10,16,-0.062307692307692286,-1.6199999999999994,19,-0.22578947368421048,7,0.3814285714285714
NFL-NW165,W15_18,15,18,21,11,10,0.34,7.140000000000001,12,0.6866666666666669,9,-0.12222222222222218
NFL-H062,W4_6,4,6,54,28,26,0.22055555555555556,11.91,31,0.2567741935483871,23,0.17173913043478262
NFL-H062,W7_10,7,10,69,40,29,0.3865217391304348,26.67,52,0.4855769230769231,17,0.08352941176470588
NFL-H062,W11_14,11,14,77,40,37,0.2401298701298701,18.49,52,0.20500000000000002,25,0.31320000000000003
NFL-H062,W15_18,15,18,50,25,25,0.177,8.85,31,0.38032258064516133,19,-0.15473684210526314
NFL-NW013,W4_6,4,6,13,9,4,0.8115384615384614,10.549999999999999,9,0.7066666666666666,4,1.0475
NFL-NW013,W7_10,7,10,23,13,10,0.41086956521739126,9.45,17,0.5923529411764706,6,-0.10333333333333332
NFL-NW013,W11_14,11,14,25,14,11,0.40879999999999994,10.219999999999999,18,0.27222222222222225,7,0.76
NFL-NW013,W15_18,15,18,10,6,4,0.531,5.3100000000000005,5,0.5439999999999999,5,0.518
NFL-NW183,W4_6,4,6,30,24,6,0.13898000752759507,4.169400225827852,11,0.30617242151301516,12,0.07030903416449151
NFL-NW183,W7_10,7,10,32,24,8,0.08679499671949958,2.7774398950239867,15,0.058553394380246114,7,0.025929253168107576
NFL-NW183,W11_14,11,14,23,19,4,0.20116979705602014,4.626905332288463,8,0.2642943065763952,3,0.5190435280641467
NFL-NW183,W15_18,15,18,42,37,5,0.25474244847580796,10.699182835983935,20,0.34581284151056335,11,0.04724927227186273
NFL-NW169,W4_6,4,6,24,11,13,0.12583333333333332,3.02,16,0.036250000000000004,8,0.30500000000000005
NFL-NW169,W7_10,7,10,56,28,28,0.2076785714285714,11.629999999999999,40,0.14875000000000005,16,0.355
NFL-NW169,W11_14,11,14,63,34,29,0.27682539682539686,17.44,44,0.3543181818181818,19,0.09736842105263159
NFL-NW169,W15_18,15,18,55,29,26,0.2809090909090909,15.45,35,0.45628571428571435,20,-0.02599999999999999
NFL-NW178,W4_6,4,6,12,9,3,0.8391666666666665,10.069999999999999,7,0.7528571428571428,5,0.96
NFL-NW178,W7_10,7,10,20,11,9,0.38449999999999995,7.6899999999999995,16,0.590625,4,-0.44
NFL-NW178,W11_14,11,14,30,19,11,0.514,15.420000000000002,22,0.5422727272727272,8,0.43625
NFL-NW178,W15_18,15,18,17,8,9,0.13705882352941173,2.3299999999999996,11,0.5481818181818181,6,-0.6166666666666667
NFL-NW166,W4_6,4,6,18,10,8,0.33277777777777773,5.989999999999999,9,0.17444444444444443,9,0.4911111111111111
NFL-NW166,W7_10,7,10,26,15,11,0.43884615384615383,11.41,20,0.7355,6,-0.5499999999999999
NFL-NW166,W11_14,11,14,22,12,10,0.2577272727272727,5.669999999999999,12,-0.03833333333333333,10,0.6130000000000001
NFL-NW166,W15_18,15,18,18,11,7,0.5022222222222222,9.040000000000001,13,0.8646153846153847,5,-0.44000000000000006
NFL-NW167,W4_6,4,6,18,10,8,0.33277777777777773,5.989999999999999,9,0.17444444444444443,9,0.4911111111111111
NFL-NW167,W7_10,7,10,26,15,11,0.43884615384615383,11.41,20,0.7355,6,-0.5499999999999999
NFL-NW167,W11_14,11,14,22,12,10,0.2577272727272727,5.669999999999999,12,-0.03833333333333333,10,0.6130000000000001
NFL-NW167,W15_18,15,18,18,11,7,0.5022222222222222,9.040000000000001,13,0.8646153846153847,5,-0.44000000000000006
NFL-NW062,W4_6,4,6,29,19,10,0.33623951290022885,9.750945874106637,17,0.3028925560234212,8,0.2946491228070175
NFL-NW062,W7_10,7,10,38,20,18,0.047412480455501706,1.801674257309065,26,0.2264135477971551,3,0.26966536288570186
NFL-NW062,W11_14,11,14,29,19,10,0.3123877524225947,9.059244820255246,21,0.2315529665464008,3,0.9640176945094979
NFL-NW062,W15_18,15,18,23,13,10,0.16044122954327325,3.6901482794952845,12,0.1683456899579403,8,0.05499999999999999
NFL-NW174,W4_6,4,6,14,8,6,0.4107142857142857,5.75,10,0.737,1,-1.0
NFL-NW174,W7_10,7,10,31,11,20,-0.09064516129032259,-2.81,18,-0.14277777777777778,10,-0.20800000000000002
NFL-NW174,W11_14,11,14,35,17,18,0.22400000000000006,7.840000000000002,18,0.3877777777777778,8,-0.0625
NFL-NW174,W15_18,15,18,24,13,11,0.42083333333333334,10.1,10,0.275,5,1.0859999999999999
NFL-H082,W4_6,4,6,47,23,24,0.1380851063829787,6.489999999999998,35,0.20114285714285712,12,-0.045833333333333316
NFL-H082,W7_10,7,10,61,38,23,0.4636065573770493,28.28000000000001,47,0.49829787234042555,14,0.3471428571428571
NFL-H082,W11_14,11,14,48,23,25,0.13208333333333333,6.34,34,0.0661764705882353,14,0.29214285714285715
NFL-H082,W15_18,15,18,58,27,31,0.11103448275862068,6.4399999999999995,41,0.22390243902439025,17,-0.16117647058823525
NFL-NW184,W4_6,4,6,19,15,4,0.1450435271020419,2.755827014938796,6,0.19494940196399746,13,0.12201004639652398
NFL-NW184,W7_10,7,10,26,20,6,0.11129855110706646,2.893762328783728,14,0.23162044851146604,12,-0.02907699586473303
NFL-NW184,W11_14,11,14,21,18,3,0.22712656831471603,4.769657934609037,9,0.2838595739389056,12,0.18457681409657387
NFL-NW184,W15_18,15,18,30,26,4,0.24144036817445216,7.243211045233565,19,0.27478419209849153,11,0.183846490487475
NFL-NW175,W4_6,4,6,36,13,23,-0.1011111111111111,-3.6399999999999997,17,0.15823529411764709,12,-0.3658333333333333
