event_date,year,player1,player2,player1_url,player2_url,favorite,underdog,favorite_age,underdog_age,younger_advantage,market_prob,favorite_decimal_odds,won,profit,date_offset_days,snapshot_mode,fight_url,source,region
2024-03-02,2024,Matt Schnell,Steve Erceg,http://ufcstats.com/fighter-details/67c1d46f4ed16f9e,http://ufcstats.com/fighter-details/32ab52e5de93092d,Steve Erceg,Matt Schnell,28.60017659500195,34.12801084211175,5.527834247109798,0.7957758771164253,1.2061855670103092,True,10.309278350515461,0,historical_import_fallback,http://ufcstats.com/fight-details/024beecfd3f0ed7a,zewnetrzne,us
2024-03-02,2024,Abdul-Kareem Al-Selwady,Loik Radzhabov,http://ufcstats.com/fighter-details/597499ac7a5aac62,http://ufcstats.com/fighter-details/8c169fbe1ac33637,Abdul-Kareem Al-Selwady,Loik Radzhabov,28.89587055175671,33.457223625399564,4.561353073642856,0.551441114716549,1.7407407407407407,False,-50.0,0,historical_import_fallback,http://ufcstats.com/fight-details/ba8f219260e212f8,zewnetrzne,us
2024-03-02,2024,Vinicius Oliveira,Benardo Sopaj,http://ufcstats.com/fighter-details/18d01f7f8338ae72,http://ufcstats.com/fighter-details/b6c37948cb226e8c,Vinicius Oliveira,Benardo Sopaj,28.2552003121214,23.433746072814635,-4.821454239306764,0.5765973826020016,1.5714285714285714,True,28.57142857142857,0,historical_import_fallback,http://ufcstats.com/fight-details/cde2f88251b73305,zewnetrzne,us
2024-03-02,2024,Christian Leroy Duncan,Claudio Ribeiro,http://ufcstats.com/fighter-details/a93f94c923c3a9cb,http://ufcstats.com/fighter-details/972c456ff38b2015,Christian Leroy Duncan,Claudio Ribeiro,28.608390316022916,31.62556383772425,3.0171735217013342,0.771505376344086,1.2439024390243902,True,12.195121951219512,0,historical_import_fallback,http://ufcstats.com/fight-details/3ea7d69a1238f26a,zewnetrzne,us
2024-03-02,2024,Eryk Anders,Jamie Pickett,http://ufcstats.com/fighter-details/cad24459b28592ca,http://ufcstats.com/fighter-details/830f60497fab345a,Eryk Anders,Jamie Pickett,36.865917849100256,35.507915973633956,-1.3580018754663001,0.8081570996978852,1.1869158878504673,True,9.345794392523366,0,historical_import_fallback,http://ufcstats.com/fight-details/32bd7ed48f5aea7e,zewnetrzne,us
2024-03-02,2024,Vitor Petrino,Tyson Pedro,http://ufcstats.com/fighter-details/71171fc96445bf65,http://ufcstats.com/fighter-details/49e96ff8ab781589,Vitor Petrino,Tyson Pedro,26.511153548669718,32.45788756784876,5.94673401917904,0.786743515850144,1.21978021978022,True,10.989010989011005,0,historical_import_fallback,http://ufcstats.com/fight-details/df3cc5ec78d05a71,zewnetrzne,us
2024-03-02,2024,Umar Nurmagomedov,Bekzat Almakhan,http://ufcstats.com/fighter-details/2b6fc1c02736833d,http://ufcstats.com/fighter-details/a4dc0f2b95df4cc1,Umar Nurmagomedov,Bekzat Almakhan,28.16211147388379,26.481036571592846,-1.6810749022909448,0.8933823529411765,1.074074074074074,True,3.703703703703698,0,historical_import_fallback,http://ufcstats.com/fight-details/dcf5014e56649c2f,zewnetrzne,us
2024-03-02,2024,Aiemann Zahabi,Javid Basharat,http://ufcstats.com/fighter-details/24656ef4d605c96f,http://ufcstats.com/fighter-details/bbab3baf66128ae2,Javid Basharat,Aiemann Zahabi,28.48518450070843,36.28548156361869,7.800297062910257,0.8524590163934427,1.125,False,-50.0,0,historical_import_fallback,http://ufcstats.com/fight-details/a7d397cd0f2ac93a,zewnetrzne,us
2024-03-02,2024,Ludovit Klein,AJ Cunningham,http://ufcstats.com/fighter-details/5b86d491d63890c5,http://ufcstats.com/fighter-details/d1053e55f00e53fe,Ludovit Klein,AJ Cunningham,29.02455218108517,29.484520558259238,0.4599683771740679,0.7894736842105263,2.4,True,70.0,0,historical_import_fallback,http://ufcstats.com/fight-details/4e566db7d26df001,zewnetrzne,us
2024-03-09,2024,Dustin Poirier,Benoit Saint Denis,http://ufcstats.com/fighter-details/029eaff01e6bb8f0,http://ufcstats.com/fighter-details/c2299ec916bc7c56,Benoit Saint Denis,Dustin Poirier,28.225083335044523,35.13556062068352,6.910477285638997,0.6574752261956054,1.4587155963302751,False,-50.0,0,historical_import_fallback,http://ufcstats.com/fight-details/6e73ebbd089aff5e,zewnetrzne,us
