track,price_band,venue,concept,conditions,full_n,full_wins,full_win_pct,full_roi,train_n,train_roi,validation_n,validation_roi,holdout_n,holdout_roi,positive_season_ratio,recent_delta,weather_research_only,preferred,score
LONG,PK_55,AWAY,RUN_HEAVY,"[[""opp_recent3_run_rate"", "">="", 0.42718446601941745], [""rank_edge_def_allowed_off_epa_per_play"", ""<="", -7.0]]",72,43,0.5972222222222222,0.22294016573638997,30,0.22513364426739765,18,0.12971489377149753,24,0.2901172715462997,0.7368421052631579,0.1126930025268521,False,False,0.3917730818852959
LONG,DOG35_44,ANY,RUN_HEAVY,"[[""pre_run_rate"", "">="", 0.46278341636016573], [""recent_edge_third_down_success"", "">="", 0.0685915449073343]]",75,41,0.5466666666666666,0.3568,35,0.5119999999999999,16,0.18,24,0.24833333333333338,0.8421052631578947,-0.0976666666666666,False,False,0.39146814561988025
LONG,DOG35_49,AWAY,RUN_HEAVY,"[[""opp_recent3_run_rate"", "">="", 0.4876835335517534], [""rank_edge_def_allowed_pass_epa_per_dropback"", ""<="", -8.0]]",78,46,0.5897435897435898,0.4316666666666667,27,0.7114814814814814,26,0.2830769230769231,25,0.284,0.75,-0.21327920227920227,False,False,0.3914433907082877
LONG,FAV65_75,AWAY,RUN_HEAVY,"[[""recent3_run_rate_edge"", ""<="", -0.04185443170951321], [""recent_edge_def_allowed_giveaway_rate"", ""<="", 0.0064103130143906]]",70,58,0.8285714285714286,0.19856502419624134,27,0.18832402911563448,14,0.13312543749614633,29,0.2396912683678866,0.75,0.07896653506199619,False,False,0.3914212599503378
LONG,DOG35_44,ANY,RUN_HEAVY,"[[""recent3_run_rate"", ""<="", 0.3828688191694588], [""recent_edge_rush_epa_per_carry"", "">="", 0.100663328779531]]",83,45,0.5421686746987951,0.36108433734939754,26,0.42,35,0.3019999999999999,22,0.3854545454545455,0.5,0.024454545454545562,False,False,0.39093691945069436
LONG,DOG35_49,ANY,RUN_HEAVY,"[[""pre_run_rate"", "">="", 0.462580750311148], [""rank_edge_def_allowed_giveaway_rate"", ""<="", -10.0]]",85,46,0.5411764705882353,0.3032941176470588,37,0.29243243243243244,23,0.29913043478260865,25,0.32319999999999993,0.65,0.027418566392479415,False,False,0.38715061104290566
LONG,DOG35_44,AWAY,RUN_HEAVY,"[[""recent3_run_rate"", "">="", 0.4767659756155415], [""rank_edge_punt_return_average"", "">="", 0.0]]",100,55,0.55,0.3723,44,0.5536363636363636,25,0.1856,31,0.26548387096774195,0.75,-0.10413431085043984,False,False,0.3859310146627566
MODERN,FAV65_75,AWAY,RUN_HEAVY,"[[""recent3_run_rate"", ""<="", 0.4852340694731999], [""recent_edge_kick_return_average"", "">="", 4.361111111111111]]",77,63,0.8181818181818182,0.16639762058571064,27,0.10926067831872587,17,0.17048959491196397,17,0.23797867473103243,0.7368421052631579,0.0981035381156875,False,False,0.3843286385603815
MODERN,DOG35_49,AWAY,RUN_HEAVY,"[[""pre_run_rate"", "">="", 0.4449241924851681], [""rank_edge_def_allowed_success_rate"", ""<="", -1.0]]",169,95,0.5621301775147929,0.340414201183432,44,0.32954545454545453,17,0.4241176470588236,58,0.26155172413793104,0.75,-0.115279826664208,False,False,0.38297485286892424
LONG,DOG35_49,AWAY,RUN_HEAVY,"[[""pre_run_rate"", "">="", 0.4667437246300308], [""rank_edge_third_down_success"", "">="", 1.0]]",116,65,0.5603448275862069,0.33698275862068966,50,0.51,26,0.13423076923076924,40,0.25250000000000006,0.75,-0.06961538461538458,False,False,0.3820898316935377
LONG,DOG35_44,ANY,RUN_HEAVY,"[[""pre_run_rate"", "">="", 0.46278341636016573], [""rank_edge_punt_return_average"", "">="", 9.0]]",85,50,0.5882352941176471,0.46094117647058824,41,0.657560975609756,18,0.3294444444444445,26,0.24192307692307694,0.7222222222222222,-0.2515796331040233,False,False,0.3810429844550745
LONG,DOG35_49,AWAY,RUN_HEAVY,"[[""opp_recent3_run_rate"", "">="", 0.4876835335517534], [""recent_edge_def_allowed_pass_epa_per_dropback"", ""<="", -0.17032747421268085]]",82,47,0.573170731707317,0.3839024390243902,38,0.4223684210526315,18,0.535,26,0.22307692307692306,0.85,-0.2556072874493927,False,False,0.3795440329887673
