method_id,depth,features,pre_roi,pre_improvement,pre_retained,score
US008,1,FEATURE:rank_edge_point_margin <= -12.950000000000003,0.43248447204968943,0.21962681568736014,0.6453488372093024,0.4453914487938755
US008,1,FEATURE:rank_edge_point_margin <= -16.0,0.401525,0.18866734363767074,0.7558139534883721,0.41664127906976745
US008,1,FEATURE:rank_edge_pass_epa_per_dropback <= -2.9000000000000057,0.39823498964803306,0.18537733328570377,0.6453488372093024,0.4111419663922191
US008,1,FEATURE:rank_edge_def_allowed_off_epa_per_play >= -15.0,0.3736760752688172,0.1608184189064879,0.6395348837209303,0.3864667729432358
US008,1,FEATURE:rank_edge_def_allowed_explosive_rate >= -9.0,0.3736587333602259,0.16080107699789664,0.6046511627906976,0.3857517566160399
US008,1,FEATURE:rank_edge_rush_epa_per_carry <= -4.0,0.37301120448179265,0.16015354811946336,0.6395348837209303,0.38580190215621124
US008,1,FEATURE:adv_prior_tz_hours_last4 <= -1.0,0.3545698924731182,0.14171223611078893,0.5872093023255814,0.3663140785196298
US008,2,FEATURE:rank_edge_point_margin <= -12.950000000000003 | FEATURE:rank_edge_point_margin <= -16.0,0.43248447204968943,0.21962681568736014,0.6453488372093024,0.42039144879387547
US009,1,FEATURE:rank_edge_punt_return_average <= 3.299999999999997,0.3294790915645278,0.1468082107643055,0.6132596685082873,0.34174428493469355
US009,1,FEATURE:rank_edge_passing_cpoe <= -7.799999999999997,0.30491547653745266,0.12224459573723034,0.6629834254143646,0.31817514504573996
US009,1,FEATURE:rank_edge_off_epa_per_play <= -7.0,0.2915691977954685,0.10889831699524621,0.6464088397790055,0.30449737459104864
US009,1,FEATURE:adv_prior_road_streak <= -1.0,0.2892613636363637,0.10659048283614136,0.7182320441988951,0.3036260045203416
US009,1,FEATURE:adv_prev_road_game <= -1.0,0.2828494623655914,0.10017858156536907,0.7458563535911602,0.2977665894374146
US009,1,FEATURE:rank_edge_punt_return_average <= -1.0,0.274842452369321,0.09217157156909866,0.7458563535911602,0.28975957944114417
US009,1,FEATURE:rank_edge_early_down_epa <= -11.0,0.27429012345679016,0.09161924265656785,0.7016574585635359,0.2883232726280609
US009,1,FEATURE:recent_edge_rush_epa_per_carry <= -0.10225688187359452,0.2720454545454546,0.08937457374523228,0.7458563535911602,0.2869625816172778
