method_id,season,week,game_id,team,opponent,moneyline
US005,2007,11,2007_11_STL_SF,SF,LA,165.0
US005,2016,5,2016_05_ARI_SF,SF,ARI,169.0
US005,2006,14,2006_14_ATL_TB,TB,ATL,170.0
US005,2007,7,2007_07_TB_DET,TB,DET,119.0
US005,2008,8,2008_08_TB_DAL,TB,DAL,114.0
US005,2009,14,2009_14_NYJ_TB,TB,NYJ,177.0
US005,2011,5,2011_05_TB_SF,TB,SF,127.0
US005,2013,6,2013_06_PHI_TB,TB,PHI,126.0
US005,2011,5,2011_05_TEN_PIT,TEN,PIT,156.0
US005,2006,11,2006_11_WAS_TB,WAS,TB,155.0
US005,2006,13,2006_13_ATL_WAS,WAS,ATL,118.0
US005,2006,16,2006_16_WAS_STL,WAS,LA,109.0
US005,2007,12,2007_12_WAS_TB,WAS,TB,171.0
US005,2008,17,2008_17_WAS_SF,WAS,SF,131.0
US005,2016,8,2016_08_WAS_CIN,WAS,CIN,136.0
US005,2016,13,2016_13_WAS_ARI,WAS,ARI,120.0
US006,2025,11,2025_11_SF_ARI,ARI,SF,160.0
US006,2007,14,2007_14_NO_ATL,ATL,NO,183.0
US006,2009,8,2009_08_HOU_BUF,BUF,HOU,172.0
US006,2014,11,2014_11_ATL_CAR,CAR,ATL,126.0
US006,2016,16,2016_16_ATL_CAR,CAR,ATL,136.0
US006,2021,9,2021_09_NE_CAR,CAR,NE,157.0
US006,2009,11,2009_11_PHI_CHI,CHI,PHI,170.0
US006,2010,14,2010_14_NE_CHI,CHI,NE,131.0
US006,2017,11,2017_11_DET_CHI,CHI,DET,140.0
US006,2020,10,2020_10_MIN_CHI,CHI,MIN,152.0
US006,2023,4,2023_04_DEN_CHI,CHI,DEN,136.0
US006,2006,12,2006_12_CIN_CLE,CLE,CIN,163.0
US006,2018,4,2018_04_KC_DEN,DEN,KC,159.0
US006,2007,12,2007_12_GB_DET,DET,GB,160.0
US006,2012,16,2012_16_ATL_DET,DET,ATL,171.0
US006,2015,5,2015_05_ARI_DET,DET,ARI,181.0
US006,2016,17,2016_17_GB_DET,DET,GB,171.0
US006,2020,12,2020_12_HOU_DET,DET,HOU,139.0
US006,2021,6,2021_06_CIN_DET,DET,CIN,171.0
US006,2009,15,2009_15_IND_JAX,JAX,IND,163.0
US006,2011,5,2011_05_CIN_JAX,JAX,CIN,123.0
US006,2019,12,2019_12_BAL_LA,LA,BAL,145.0
US006,2007,5,2007_05_ARI_STL,LA,ARI,184.0
US006,2007,8,2007_08_CLE_STL,LA,CLE,133.0
US006,2010,11,2010_11_ATL_STL,LA,ATL,162.0
US006,2025,11,2025_11_DAL_LV,LV,DAL,164.0
US006,2008,9,2008_09_ATL_OAK,LV,ATL,126.0
US006,2013,12,2013_12_TEN_OAK,LV,TEN,136.0
US006,2019,14,2019_14_TEN_OAK,LV,TEN,137.0
US006,2017,9,2017_09_OAK_MIA,MIA,LV,140.0
US006,2018,7,2018_07_DET_MIA,MIA,DET,159.0
US006,2021,6,2021_06_DAL_NE,NE,DAL,169.0
US006,2018,4,2018_04_NO_NYG,NYG,NO,153.0
US006,2024,9,2024_09_WAS_NYG,NYG,WAS,180.0
US006,2024,18,2024_18_CIN_PIT,PIT,CIN,124.0
US006,2006,16,2006_16_SD_SEA,SEA,LAC,178.0
US006,2007,11,2007_11_STL_SF,SF,LA,165.0
US006,2010,14,2010_14_IND_TEN,TEN,IND,161.0
US006,2011,14,2011_14_NO_TEN,TEN,NO,158.0
US006,2008,13,2008_13_NYG_WAS,WAS,NYG,178.0
US006,2010,6,2010_06_IND_WAS,WAS,IND,148.0
US006,2010,10,2010_10_PHI_WAS,WAS,PHI,163.0
US006,2013,14,2013_14_KC_WAS,WAS,KC,166.0
US006,2013,16,2013_16_DAL_WAS,WAS,DAL,150.0
US006,2025,9,2025_09_SEA_WAS,WAS,SEA,124.0
US007,2006,9,2006_09_ATL_DET,ATL,DET,-233.0
US007,2007,4,2007_04_BAL_CLE,BAL,CLE,-187.0
US007,2014,16,2014_16_BAL_HOU,BAL,HOU,-242.0
