method_id,feature,op,threshold,pre_score,confirmed_holdout,base_train_roi,train_risk_n,train_risk_win_pct,train_risk_roi,train_safe_roi,train_loss_lift,base_validation_roi,validation_risk_n,validation_risk_win_pct,validation_risk_roi,validation_safe_roi,validation_loss_lift,base_holdout_roi,holdout_risk_n,holdout_risk_win_pct,holdout_risk_roi,holdout_safe_roi,holdout_loss_lift,holdout_retained_share
RS001,recent_edge_third_down_success,<=,0.0025451887293992557,0.9689249466380611,False,0.2615,14,0.35714285714285715,-0.09428571428571429,0.45307692307692304,0.1428571428571428,0.30619047619047624,11,0.36363636363636365,-0.09818181818181819,0.7509999999999999,0.1601731601731602,0.6759999999999999,11,0.7272727272727273,0.8190909090909092,0.5635714285714286,-0.047272727272727244,0.56
RS001,recent_edge_def_allowed_off_epa_per_play,>=,0.07127632820618697,0.9666364656518344,True,0.2615,8,0.25,-0.38375,0.42281250000000004,0.25,0.30619047619047624,7,0.2857142857142857,-0.25285714285714284,0.5857142857142856,0.23809523809523814,0.6759999999999999,9,0.5555555555555556,0.3955555555555556,0.83375,0.12444444444444447,0.64
RS001,recent_edge_def_allowed_yards_per_play,>=,-0.24014765756983047,1.0669954662823515,False,0.2615,26,0.38461538461538464,-0.03115384615384613,0.805,0.11538461538461542,0.30619047619047624,10,0.4,0.015999999999999993,0.57,0.12380952380952381,0.6759999999999999,15,0.6666666666666666,0.6946666666666667,0.648,0.01333333333333342,0.4
RS001,rank_edge_def_allowed_success_rate,>=,8.0,1.0339745032862433,False,0.2615,9,0.3333333333333333,-0.1311111111111111,0.375483870967742,0.16666666666666674,0.30619047619047624,6,0.16666666666666666,-0.59,0.6646666666666666,0.3571428571428572,0.6759999999999999,4,0.75,0.885,0.6361904761904762,-0.06999999999999995,0.84
RS001,recent_edge_def_allowed_success_rate,>=,0.048920024565744444,1.277937393809983,False,0.2615,8,0.25,-0.365,0.41812499999999997,0.25,0.30619047619047624,4,0.0,-1.0,0.6135294117647059,0.5238095238095238,0.6759999999999999,4,0.75,0.9824999999999999,0.6176190476190476,-0.06999999999999995,0.84
RS001,recent_edge_def_allowed_early_down_epa,>=,0.06418293557267109,1.1999400370804056,False,0.2615,8,0.125,-0.7112499999999999,0.5046875,0.375,0.30619047619047624,7,0.2857142857142857,-0.3057142857142857,0.612142857142857,0.23809523809523814,0.6759999999999999,12,0.75,0.9025,0.4669230769230769,-0.06999999999999995,0.52
RS001,recent_edge_def_allowed_sack_or_hit_rate,>=,0.03794177072409401,0.4857758099141296,True,0.2615,8,0.375,-0.11124999999999996,0.35468750000000004,0.125,0.30619047619047624,5,0.4,-0.028000000000000025,0.410625,0.12380952380952381,0.6759999999999999,7,0.5714285714285714,0.43714285714285717,0.7688888888888888,0.10857142857142865,0.72
RS001,prior_road_miles_last2,<=,707.1784800224887,0.7104164715066354,False,0.2615,20,0.35,-0.087,0.6100000000000001,0.15000000000000002,0.30619047619047624,7,0.42857142857142855,0.1285714285714286,0.395,0.09523809523809523,0.6759999999999999,17,0.7058823529411765,0.7382352941176469,0.54375,-0.025882352941176467,0.32
RS001,adv_prior_road_miles_last2,<=,451.08708468040027,1.18007284791711,True,0.2615,20,0.35,-0.13499999999999995,0.6580000000000001,0.15000000000000002,0.30619047619047624,11,0.36363636363636365,-0.10181818181818181,0.7549999999999999,0.1601731601731602,0.6759999999999999,13,0.5384615384615384,0.3315384615384615,1.0491666666666666,0.1415384615384616,0.48
RS001,opp_prior_road_miles_last3,<=,1084.2572731409475,0.9527018705338377,True,0.2615,14,0.21428571428571427,-0.4649999999999999,0.6526923076923077,0.2857142857142857,0.30619047619047624,5,0.4,-0.07000000000000002,0.42375,0.12380952380952381,0.6759999999999999,7,0.42857142857142855,0.06999999999999999,0.9116666666666666,0.25142857142857145,0.72
